Title;Genre ID;Publisher;Stadia release date;Original release date
Secret Neighbor;24;tinyBuild;2020.12.01;2019.10.24
Sekiro: Shadows Die Twice;2;Activision;2020.10.28;2019.03.22
Serious Sam 4;19;Devolver Digital;2020.09.24;2020.09.24
Serious Sam Collection;19;Devolver Digital;2020.03.03;2020.03.03
Shadow of the Tomb Raider;2;Square Enix;2019.11.19;2018.09.14
Shantae: Half-Genie Hero;14;WayForward;2021.02.23;2016.12.20
Shantae: Risky's Revenge;14;WayForward;2021.02.23;2010.10.04
Sniper Elite 4;19;Rebellion Developments;2020.11.01;2017.02.17
Spiritfarer;20;Thunder Lotus Games;2020.08.21;2020.08.18
Spitlings;3;HandyGames;2020.02.25;2020.02.25
SpongeBob SquarePants: Battle for Bikini Bottom ? Rehydrated;14;THQ Nordic;2020.12.08;2020.06.23
Stacks On Stacks (On Stacks);15;Herringbone Games;2020.04.01;2020.04.01
Star Wars Jedi: Fallen Order;2;Electronic Arts;2020.11.24;2019.11.15
SteamWorld Dig;2;Image & Form;2020.03.10;2013.08.07
SteamWorld Dig 2;2;Image & Form;2020.03.01;2017.09.21
SteamWorld Heist;23;Image & Form;2020.03.10;2015.12.10
SteamWorld Quest;18;Thunderful Publishing;2020.03.01;2019.04.25
Strange Brigade;19;Rebellion Developments;2020.08.01;2018.08.28
Street Power Football;22;Maximum Games;2021.05.11;2020.08.25
Submerged: Hidden Depths;2;Stadia Games and Entertainment;2020.12.03;2020.12.03
Sundered;10;Thunder Lotus Games;2020.05.26;2017.07.28
Super Animal Royale;4;Modus Games;2021.12.14;2021.08.26
Super Bomberman R Online;4;Konami;2020.09.01;2020.09.01
Superhot;19;Superhot Team;2020.06.01;2016.02.26
Superhot: Mind Control Delete;19;Superhot Team;2020.08.18;2020.07.16
Terraria;2;505 Games;2021.03.18;2011.05.16
The Addams Family: Mansion Mayhem;2;Outright Games;2021.10.01;2021.09.24
The Crew 2;16;Ubisoft;2020.03.25;2018.06.29
The Darkside Detective;2;Akupara Games;2021.04.08;2017.07.27
The Darkside Detective: A Fumble in the Dark;2;Akupara Games;2021.04.15;2021.04.15
The Elder Scrolls Online;11;Bethesda Softworks;2020.06.16;2014.04.04
The Falconeer;19;Wired Productions;2021.10.05;2020.11.10
The Falconeer: Warrior Edition;19;Wired Productions;2021.12.01;2021.08.05
The Gardens Between;15;The Voxel Agents;2020.11.01;2018.09.20
The Jackbox Party Pack 6;13;Jackbox Games;2021.12.21;2019.10.17
The Jackbox Party Pack 7;13;Jackbox Games;2021.12.07;2020.10.15
The Jackbox Party Pack 8;13;Jackbox Games;2021.11.16;2021.10.14
The Turing Test;15;Bulkhead Interactive;2020.05.01;2016.08.30
Thumper;17;Drool;2019.11.19;2016.10.10
TOHU;2;The Irregular Corporation;2021.01.28;2021.01.28
Tom Clancy's Ghost Recon Breakpoint;19;Ubisoft;2019.12.18;2019.10.04
Tom Clancy's Ghost Recon Wildlands;19;Ubisoft;2020.11.19;2017.03.07
Tom Clancy's Rainbow Six Extraction;19;Ubisoft;2022.01.20;2022.01.20
Tom Clancy's Rainbow Six Siege;19;Ubisoft;2021.06.30;2015.12.01
Tom Clancy's The Division 2;19;Ubisoft;2020.03.17;2019.03.15
Tomb Raider;2;Square Enix;2019.11.19;2013.03.05
Transformers: Battlegrounds;23;Outright Games;2021.12.01;2020.10.23
Trials Rising;16;Ubisoft;2019.11.19;2019.02.26
Trine 4: The Nightmare Prince;15;Modus Games;2021.03.30;2019.10.08
